phase,language,word,query,top1,topk,resonance_1,correct
2,JP,ひかり,exact_surface,ひかり,"['ひかり', 'child', 'おおきい', 'べんきょう', 'ちいさい']",0.5650427614979858,True
2,JP,みず,exact_surface,みず,"['みず', 'いのち', 'つき', 'ふるい', 'many']",0.5812457081512584,True
2,JP,ひ,exact_surface,ひ,"['ひ', 'べんきょう', 'eat', 'go', 'はやい']",0.5591581401554814,True
2,JP,つき,exact_surface,つき,"['つき', 'sky', 'exit', 'ひかり', 'go']",0.5715189451448783,True
2,JP,そら,exact_surface,そら,"['そら', 'new', 'あたらしい', 'べんきょう', 'ながい']",0.580215072701085,True
2,JP,やま,exact_surface,やま,"['やま', 'はいる', 'そら', 'はやい', 'たべる']",0.6010062367327703,True
2,JP,かわ,exact_surface,かわ,"['かわ', 'いく', 'くる', 'study', 'いのち']",0.5746554831141033,True
2,JP,うみ,exact_surface,うみ,"['うみ', 'person', 'のむ', 'up', 'child']",0.5997608868655598,True
2,JP,ひと,exact_surface,ひと,"['ひと', 'でる', 'くる', 'high', 'down']",0.5712467430190331,True
2,JP,こども,exact_surface,こども,"['こども', 'みず', 'でる', 'ひかり', 'ちいさい']",0.5682082487350246,True
2,JP,べんきょう,exact_surface,べんきょう,"['べんきょう', 'かわ', 'new', 'river', 'sea']",0.5971966317122177,True
2,JP,いのち,exact_surface,いのち,"['いのち', 'はやい', 'child', 'すくない', 'old']",0.5867672191687905,True
2,JP,たべる,exact_surface,たべる,"['たべる', 'した', 'drink', 'みず', 'やま']",0.528597703575893,True
2,JP,のむ,exact_surface,のむ,"['のむ', 'ちいさい', 'うみ', 'light', 'すくない']",0.5663642532607349,True
2,JP,みる,exact_surface,みる,"['みる', 'person', 'sky', 'few', 'ながい']",0.6064355510782624,True
2,JP,いく,exact_surface,いく,"['いく', 'かわ', 'すくない', 'くる', 'たかい']",0.5761861024402387,True
2,JP,くる,exact_surface,くる,"['くる', 'ながい', 'はやい', 'down', 'のむ']",0.5842615597130227,True
2,JP,はいる,exact_surface,はいる,"['はいる', 'みず', 'のむ', 'ふるい', 'そら']",0.5775267563181234,True
2,JP,でる,exact_surface,でる,"['でる', 'enter', 'early', 'sea', 'exit']",0.5829716623765854,True
2,JP,おおきい,exact_surface,おおきい,"['おおきい', 'river', 'drink', 'たかい', 'small']",0.5882047059683094,True
2,JP,ちいさい,exact_surface,ちいさい,"['ちいさい', 'many', 'こども', 'やま', 'ひかり']",0.5971774323941444,True
2,JP,ながい,exact_surface,ながい,"['ながい', 'drink', 'few', 'おおきい', 'たべる']",0.5637860436911183,True
2,JP,たかい,exact_surface,たかい,"['たかい', 'new', 'おおい', 'person', 'した']",0.6146785795208247,True
2,JP,あたらしい,exact_surface,あたらしい,"['あたらしい', 'した', 'いく', 'light', 'すくない']",0.6131022800380392,True
2,JP,ふるい,exact_surface,ふるい,"['ふるい', 'eat', 'person', 'child', 'した']",0.5949353981513239,True
2,JP,はやい,exact_surface,はやい,"['はやい', 'moon', 'many', 'early', 'come']",0.5802916103001439,True
2,JP,おおい,exact_surface,おおい,"['おおい', 'few', 'した', 'くる', 'mountain']",0.5804842400755285,True
2,JP,すくない,exact_surface,すくない,"['すくない', 'はやい', 'go', 'いく', 'ひかり']",0.5722966547175395,True
2,JP,うえ,exact_surface,うえ,"['うえ', 'sky', 'した', 'light', 'ひかり']",0.5371328717458562,True
2,JP,した,exact_surface,した,"['した', 'river', 'eat', 'child', 'かわ']",0.6032704589511351,True
2,EN,light,exact_surface,light,"['light', 'みず', 'many', 'ひかり', 'うえ']",0.5474881162908793,True
2,EN,water,exact_surface,water,"['water', 'study', 'few', 'see', 'down']",0.5546471343595504,True
2,EN,fire,exact_surface,fire,"['fire', 'old', 'high', 'moon', 'たべる']",0.5665925949060698,True
2,EN,moon,exact_surface,moon,"['moon', 'eat', 'はやい', 'たべる', 'sea']",0.5380806831723907,True
2,EN,sky,exact_surface,sky,"['sky', 'うえ', 'high', 'おおい', 'see']",0.5443363767306257,True
2,EN,mountain,exact_surface,mountain,"['mountain', 'した', 'ながい', 'down', 'かわ']",0.5685419597330373,True
2,EN,river,exact_surface,river,"['river', 'study', 'drink', 'くる', 'おおきい']",0.5994833180245922,True
2,EN,sea,exact_surface,sea,"['sea', 'でる', 'new', 'みず', 'ちいさい']",0.5538472771484333,True
2,EN,person,exact_surface,person,"['person', 'eat', 'たべる', 'ひかり', 'ちいさい']",0.5787944911138065,True
2,EN,child,exact_surface,child,"['child', 'ひかり', 'sea', 'ふるい', 'eat']",0.5696851630859123,True
2,EN,study,exact_surface,study,"['study', 'old', 'のむ', 'high', 'drink']",0.5992869872632681,True
2,EN,life,exact_surface,life,"['life', 'いく', 'many', 'down', 'big']",0.5431115666111116,True
2,EN,eat,exact_surface,eat,"['eat', 'はいる', 'ひと', 'した', 'ながい']",0.5898920185957148,True
2,EN,drink,exact_surface,drink,"['drink', 'small', 'high', 'child', 'down']",0.5667499154781452,True
2,EN,see,exact_surface,see,"['see', 'up', 'みず', 'big', 'でる']",0.5737988717983219,True
2,EN,go,exact_surface,go,"['go', 'sky', 'few', 'life', 'うみ']",0.5742762358365148,True
2,EN,come,exact_surface,come,"['come', 'うえ', 'でる', 'child', 'たかい']",0.5551236917779736,True
2,EN,enter,exact_surface,enter,"['enter', 'おおい', 'かわ', 'はいる', 'みる']",0.5634770483427537,True
2,EN,exit,exact_surface,exit,"['exit', 'おおい', 'ちいさい', 'old', 'early']",0.5584067755090766,True
2,EN,big,exact_surface,big,"['big', 'やま', 'down', 'river', 'see']",0.5370491886946901,True
2,EN,small,exact_surface,small,"['small', 'みず', 'かわ', 'すくない', 'child']",0.5934440009339542,True
2,EN,long,exact_surface,long,"['long', 'おおきい', 'べんきょう', 'mountain', 'うえ']",0.5421886684661716,True
2,EN,high,exact_surface,high,"['high', 'fire', 'ひと', 'go', 'drink']",0.5649395834400996,True
2,EN,new,exact_surface,new,"['new', 'ひかり', 'ひと', 'べんきょう', 'water']",0.5860377615030398,True
2,EN,old,exact_surface,old,"['old', 'ちいさい', 'ふるい', 'fire', 'うみ']",0.542950729503918,True
2,EN,early,exact_surface,early,"['early', 'でる', 'small', 'はやい', 'new']",0.5561594668382399,True
2,EN,many,exact_surface,many,"['many', 'ひと', 'life', 'old', 'やま']",0.5567281256285231,True
2,EN,few,exact_surface,few,"['few', 'ひかり', 'study', 'おおい', 'moon']",0.5618413809513694,True
2,EN,up,exact_surface,up,"['up', 'でる', 'see', 'たべる', 'した']",0.5714017722454249,True
2,EN,down,exact_surface,down,"['down', 'drink', 'ちいさい', 'おおい', 'person']",0.5668301586292305,True
