run_id,condition,phase,task,language,word_id,query_gloss,expected_surface,rank_of_expected,topk_surfaces,resonance_expected,resonance_top1,resonance_top2,margin,success_topk
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,1,light,ひかり,1,"['ひかり', 'はいる', 'つき', 'のむ', 'くる']",0.01804256282700048,0.5800932381305972,0.09320541050933358,0.48688782762126365,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,2,water,みず,1,"['みず', 'ながい', 'おおきい', 'べんきょう', 'たべる']",0.01892280962343889,0.5860403561685086,0.10992296399886453,0.47611739216964405,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,3,fire,ひ,1,"['ひ', 'ちいさい', 'いのち', 'すくない', 'そら']",0.01728727745310716,0.5591517945180974,0.0808968537406728,0.4782549407774246,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,4,moon,つき,1,"['つき', 'たべる', 'みる', 'やま', 'くる']",0.017737639402444695,0.5728704600093767,0.09640853666391992,0.4764619233454568,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,5,sky,そら,1,"['そら', 'でる', 'ひ', 'おおい', 'みる']",0.018844002289255472,0.5824576120203645,0.07298321284012387,0.5094743991802406,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,6,mountain,やま,1,"['やま', 'たかい', 'おおい', 'うみ', 'ふるい']",0.017429724737823733,0.5658917211316422,0.0774829125967791,0.4884088085348631,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,7,river,かわ,1,"['かわ', 'こども', 'おおきい', 'たかい', 'ひと']",0.016500342490779467,0.5486538648557566,0.09135615454320138,0.45729771031255523,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,8,sea,うみ,1,"['うみ', 'べんきょう', 'ひと', 'あたらしい', 'はやい']",0.0184488684212716,0.5895162798296948,0.06640567838935292,0.5231106014403418,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,9,person,ひと,1,"['ひと', 'おおい', 'うみ', 'のむ', 'いく']",0.01723695518527725,0.5535809637464713,0.09046730990801981,0.46311365383845143,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,10,child,こども,1,"['こども', 'うみ', 'そら', 'ひと', 'のむ']",0.018303727711704167,0.5840277729939356,0.07320150989076676,0.5108262631031688,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,11,study,べんきょう,1,"['べんきょう', 'たかい', 'でる', 'うみ', 'こども']",0.01841752261229871,0.5797691835583845,0.09363969925306272,0.48612948430532177,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,12,life,いのち,1,"['いのち', 'おおい', 'すくない', 'ひ', 'ひかり']",0.018228730330048636,0.5784846254943181,0.09267460979267207,0.48581001570164606,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,13,eat,たべる,1,"['たべる', 'つき', 'おおきい', 'はやい', 'のむ']",0.01729823659013967,0.5543580280858924,0.09267670428616423,0.46168132379972815,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,14,drink,のむ,1,"['のむ', 'した', 'ながい', 'でる', 'こども']",0.017162274619561744,0.5600230548646141,0.07292255029888847,0.4871005045657256,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,15,see,みる,1,"['みる', 'つき', 'そら', 'おおい', 'たかい']",0.018978773534271062,0.611534458466382,0.0789262702959719,0.5326081881704101,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,16,go,いく,1,"['いく', 'やま', 'かわ', 'すくない', 'たべる']",0.015782100341633937,0.5239160729242325,0.08599072193800937,0.4379253509862231,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,17,come,くる,1,"['くる', 'すくない', 'べんきょう', 'つき', 'ひかり']",0.017576504261218012,0.5914701804878573,0.07559738666678825,0.515872793821069,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,18,enter,はいる,1,"['はいる', 'たべる', 'やま', 'すくない', 'うえ']",0.018825622924815235,0.5991964558118515,0.10790464280785049,0.49129181300400104,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,19,exit,でる,1,"['でる', 'おおい', 'ふるい', 'たかい', 'べんきょう']",0.01691177427505071,0.5496601159771151,0.08195422459562733,0.4677058913814877,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,20,big,おおきい,1,"['おおきい', 'はいる', 'たかい', 'みる', 'うみ']",0.018289506002314545,0.5669367634973852,0.08846989024831128,0.4784668732490739,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,21,small,ちいさい,1,"['ちいさい', 'みる', 'そら', 'うえ', 'のむ']",0.016971835317353544,0.5586932946022239,0.07498827328241726,0.4837050213198067,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,22,long,ながい,1,"['ながい', 'ひ', 'ちいさい', 'いく', 'はやい']",0.01725449192216468,0.5371954306145464,0.126832278249486,0.41036315236506044,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,23,high,たかい,1,"['たかい', 'べんきょう', 'そら', 'すくない', 'はいる']",0.0165262996495348,0.5409484406678677,0.09695737323736422,0.44399106743050354,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,24,new,あたらしい,1,"['あたらしい', 'すくない', 'うみ', 'はやい', 'した']",0.018750842996824398,0.6017810710310447,0.11731397472273072,0.48446709630831397,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,25,old,ふるい,1,"['ふるい', 'みず', 'みる', 'ひかり', 'ちいさい']",0.016092959605264807,0.5475813050458912,0.08239073087458411,0.4651905741713071,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,26,early,はやい,1,"['はやい', 'いく', 'ふるい', 'くる', 'うえ']",0.01774051692539637,0.5653375280066341,0.058931520043666724,0.5064060079629673,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,27,many,おおい,1,"['おおい', 'こども', 'ひ', 'でる', 'うえ']",0.017320321326484044,0.5509439940655152,0.08182703253331418,0.469116961532201,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,28,few,すくない,1,"['すくない', 'べんきょう', 'あたらしい', 'はやい', 'いのち']",0.02071934746052147,0.6286628749340141,0.10287228810772839,0.5257905868262857,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,29,up,うえ,1,"['うえ', 'おおきい', 'みず', 'おおい', 'ふるい']",0.017041989338438625,0.5545703440390893,0.06304088073206322,0.4915294633070261,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,30,down,した,1,"['した', 'ひ', 'うえ', 'でる', 'たかい']",0.019148760376345726,0.5996583059412365,0.0735655347727447,0.5260927711684917,True
