run_id,condition,phase,language,compound_id,gloss1,gloss2,expected_compound_surface,top1_surface,topk_surfaces,rank_of_expected,resonance_expected,resonance_top1,resonance_top2,margin,success_topk
RUN_1768091923,C1_JP_ONLY,C,JP,CP001,blue,sky,あおぞら,あおぞら,"['あおぞら', 'そら', '空', 'うみそら', 'あお']",1,0.6375244148424264,0.6375244148424265,0.3819352023428842,0.2555892124995423,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP002,mountain,road,やまみち,やまみち,"['やまみち', 'みち', 'やま', '山', 'やまかわ']",1,0.6169149758794159,0.6169149758794161,0.3500605783993457,0.26685439748007045,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP003,sea,wind,うみかぜ,うみかぜ,"['うみかぜ', 'かぜ', '海', 'うみ', 'うみそら']",1,0.6443538622170446,0.6443538622170447,0.3757875116143801,0.2685663506026646,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP004,river,side,かわべ,かわべ,"['かわべ', 'そば', '川', 'かわ', 'やまかわ']",1,0.6394301472387798,0.6394301472387799,0.36353774262427274,0.27589240461450715,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP005,moon,light,つきひかり,つきひかり,"['つきひかり', 'つき', '光', 'ひかり', 'ひのひかり']",1,0.6432274103160283,0.6432274103160285,0.39230108123297824,0.25092632908305024,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP006,fire,light,ひのひかり,ひのひかり,"['ひのひかり', '光', 'つきひかり', 'ひかり', 'ひ']",1,0.6243943007740592,0.6243943007740597,0.36223190624388985,0.2621623945301698,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP007,mountain,river,やまかわ,やまかわ,"['やまかわ', '山', '川', 'かわべ', 'かわ']",1,0.5996094733663957,0.5996094733663957,0.35215904232841916,0.24745043103797654,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP008,sea,sky,うみそら,うみそら,"['うみそら', 'そら', '海', '空', 'うみかぜ']",1,0.6459707876932341,0.6459707876932343,0.3791853543365265,0.26678543335670785,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP009,person,child,ひとこども,ひとこども,"['ひとこども', '人', 'ひと', '子供', 'こども']",1,0.6028284020388879,0.6028284020388881,0.308405184164525,0.2944232178743631,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP010,new,life,あたらしいいのち,あたらしいいのち,"['あたらしいいのち', 'いのち', 'あたらしい', '人', 'した']",1,0.6597823553509811,0.6597823553509811,0.4000434232700966,0.25973893208088444,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP011,high,mountain,たかいやま,たかいやま,"['たかいやま', '山', 'やまかわ', 'やまみち', 'たかい']",1,0.5964097352656059,0.5964097352656057,0.33828681709326686,0.25812291817233884,True
RUN_1768091923,C1_JP_ONLY,C,JP,CP012,small,river,ちいさいかわ,ちいさいかわ,"['ちいさいかわ', 'ちいさい', 'かわ', '川', 'かわべ']",1,0.5802250207815388,0.5802250207815391,0.3476108422152431,0.23261417856629607,True
RUN_1768091923,C3_MIXED_A,C,JP,CP001,blue,sky,あおぞら,あおぞら,"['あおぞら', 'sky', 'そら', '空', 'うみそら']",1,0.6375244148424264,0.6375244148424265,0.3887716817267114,0.2487527331157151,True
RUN_1768091923,C3_MIXED_A,C,JP,CP002,mountain,road,やまみち,やまみち,"['やまみち', 'road', 'みち', 'やま', 'mountain']",1,0.6169149758794159,0.6169149758794161,0.35420546782580253,0.2627095080536136,True
RUN_1768091923,C3_MIXED_A,C,JP,CP003,sea,wind,うみかぜ,うみかぜ,"['うみかぜ', 'かぜ', '海', 'sea', 'wind']",1,0.6443538622170446,0.6443538622170447,0.3757875116143801,0.2685663506026646,True
RUN_1768091923,C3_MIXED_A,C,JP,CP004,river,side,かわべ,かわべ,"['かわべ', 'side', 'そば', '川', 'river']",1,0.6394301472387798,0.6394301472387799,0.3723561157748662,0.2670740314639137,True
RUN_1768091923,C3_MIXED_A,C,JP,CP005,moon,light,つきひかり,つきひかり,"['つきひかり', 'つき', '光', 'light', 'ひかり']",1,0.6432274103160283,0.6432274103160285,0.39230108123297824,0.25092632908305024,True
RUN_1768091923,C3_MIXED_A,C,JP,CP006,fire,light,ひのひかり,ひのひかり,"['ひのひかり', '光', 'つきひかり', 'ひかり', 'light']",1,0.6243943007740592,0.6243943007740597,0.36223190624388985,0.2621623945301698,True
RUN_1768091923,C3_MIXED_A,C,JP,CP007,mountain,river,やまかわ,やまかわ,"['やまかわ', '山', 'river', '川', 'かわべ']",1,0.5996094733663957,0.5996094733663957,0.35215904232841916,0.24745043103797654,True
RUN_1768091923,C3_MIXED_A,C,JP,CP008,sea,sky,うみそら,うみそら,"['うみそら', 'そら', '海', '空', 'sea']",1,0.6459707876932341,0.6459707876932343,0.3791853543365265,0.26678543335670785,True
RUN_1768091923,C3_MIXED_A,C,JP,CP009,person,child,ひとこども,ひとこども,"['ひとこども', 'child', '人', 'ひと', '子供']",1,0.6028284020388879,0.6028284020388881,0.3317821669181372,0.2710462351207509,True
RUN_1768091923,C3_MIXED_A,C,JP,CP010,new,life,あたらしいいのち,あたらしいいのち,"['あたらしいいのち', 'いのち', 'life', 'あたらしい', 'new']",1,0.6597823553509811,0.6597823553509811,0.4000434232700966,0.25973893208088444,True
RUN_1768091923,C3_MIXED_A,C,JP,CP011,high,mountain,たかいやま,たかいやま,"['たかいやま', '山', 'やまかわ', 'やまみち', 'mountain']",1,0.5964097352656059,0.5964097352656057,0.33828681709326686,0.25812291817233884,True
RUN_1768091923,C3_MIXED_A,C,JP,CP012,small,river,ちいさいかわ,ちいさいかわ,"['ちいさいかわ', 'river', 'ちいさい', 'かわ', '川']",1,0.5802250207815388,0.5802250207815391,0.37156756057039825,0.2086574602111409,True
RUN_1768091923,C4_MIXED_B,C,JP,CP001,blue,sky,あおぞら,あおぞら,"['あおぞら', 'sky', 'そら', '空', 'うみそら']",1,0.6375244148424264,0.6375244148424265,0.3887716817267114,0.2487527331157151,True
RUN_1768091923,C4_MIXED_B,C,JP,CP002,mountain,road,やまみち,やまみち,"['やまみち', 'road', 'みち', 'やま', 'mountain']",1,0.6169149758794159,0.6169149758794161,0.35420546782580253,0.2627095080536136,True
RUN_1768091923,C4_MIXED_B,C,JP,CP003,sea,wind,うみかぜ,うみかぜ,"['うみかぜ', 'かぜ', '海', 'sea', 'wind']",1,0.6443538622170446,0.6443538622170447,0.3757875116143801,0.2685663506026646,True
RUN_1768091923,C4_MIXED_B,C,JP,CP004,river,side,かわべ,かわべ,"['かわべ', 'side', 'そば', '川', 'river']",1,0.6394301472387798,0.6394301472387799,0.3723561157748662,0.2670740314639137,True
RUN_1768091923,C4_MIXED_B,C,JP,CP005,moon,light,つきひかり,つきひかり,"['つきひかり', 'つき', '光', 'light', 'ひかり']",1,0.6432274103160283,0.6432274103160285,0.39230108123297824,0.25092632908305024,True
RUN_1768091923,C4_MIXED_B,C,JP,CP006,fire,light,ひのひかり,ひのひかり,"['ひのひかり', '光', 'つきひかり', 'ひかり', 'light']",1,0.6243943007740592,0.6243943007740597,0.36223190624388985,0.2621623945301698,True
RUN_1768091923,C4_MIXED_B,C,JP,CP007,mountain,river,やまかわ,やまかわ,"['やまかわ', '山', 'river', '川', 'かわべ']",1,0.5996094733663957,0.5996094733663957,0.35215904232841916,0.24745043103797654,True
RUN_1768091923,C4_MIXED_B,C,JP,CP008,sea,sky,うみそら,うみそら,"['うみそら', 'そら', '海', '空', 'sea']",1,0.6459707876932341,0.6459707876932343,0.3791853543365265,0.26678543335670785,True
RUN_1768091923,C4_MIXED_B,C,JP,CP009,person,child,ひとこども,ひとこども,"['ひとこども', 'child', '人', 'ひと', '子供']",1,0.6028284020388879,0.6028284020388881,0.3317821669181372,0.2710462351207509,True
RUN_1768091923,C4_MIXED_B,C,JP,CP010,new,life,あたらしいいのち,あたらしいいのち,"['あたらしいいのち', 'いのち', 'life', 'あたらしい', 'new']",1,0.6597823553509811,0.6597823553509811,0.4000434232700966,0.25973893208088444,True
RUN_1768091923,C4_MIXED_B,C,JP,CP011,high,mountain,たかいやま,たかいやま,"['たかいやま', '山', 'やまかわ', 'やまみち', 'mountain']",1,0.5964097352656059,0.5964097352656057,0.33828681709326686,0.25812291817233884,True
RUN_1768091923,C4_MIXED_B,C,JP,CP012,small,river,ちいさいかわ,ちいさいかわ,"['ちいさいかわ', 'river', 'ちいさい', 'かわ', '川']",1,0.5802250207815388,0.5802250207815391,0.37156756057039825,0.2086574602111409,True
